indicator;type;title;series;question;option1;option2;option3;option4;option5;img
i315;unique;Commençons par un petit test de connaissance;introduction;Dans l'histoire de Lausanne, lequel de ces éléments n'a pas eu d'impact sur la structure de la ville d'aujourd'hui?;Les grands projets d'aménagement urbains;L'hydrogaphie;Le climat;La topographie;"Aucun; tous ces éléments ont joué un rôle dans la structure de la ville telle que nous la connaissons aujourd'hui";
i321;unique;Revenons aux questions de départ!;conclusion;Le relief Lausannois a notamment été dessiné par deux rivières. Il s'agit de :;Le Flon et La Sorge;La Louve et La Venoge;La Louve et Le Flon;La Venoge et Le Flon;;
i322;unique;Revenons aux questions de départ!;conclusion;En géomorphologie, lequel de ces termes désigne une forme sédimentaire d'origine glaciaire? ;Un éboulis;Une gorge;Une moraine;Un bassin versant;;
i323;unique;Revenons aux questions de départ!;conclusion;A Lausanne, lequel de ces quartiers n'a pas connu de projet d'aménagement d'envergure durant les deux derniers siècles?;Le Flon;La Cité;La Riponne;Le Vallon;;
i324;unique;;conclusion;;;;;;;
i325;unique;Revenons aux questions de départ!;conclusion;Dans l'histoire de Lausanne, lequel de ces éléments n'a  pas impacté la structure de la ville d'aujourd'hui?;Les grands projets d'aménagement urbains;L'hydrogaphie;Le climat;La topographie;"Aucun; tous ces éléments ont joué un rôle dans la structure de la ville telle que nous la connaissons aujourd'hui";
i33;;;;;;;;;;
i411;unique;Connaissez-vous la ville de Lausanne?;lausanne knowledge;Pourriez-vous dire dans lequel de ces quartier a été prise cette photographie?;Quartier de la Gare;Le Flon;Ouchy;Le Vallon;;i41img1.jpg
i412;unique;Connaissez-vous la ville de Lausanne?;lausanne knowledge;Pourriez-vous dire dans lequel de ces quartier a été prise cette photographie?;Le Vallon;Quartier de la Gare;Grancy;Le Flon;;i41img2.jpg
i413;unique;Connaissez-vous la ville de Lausanne?;lausanne knowledge;Parmi ces grans édifices lausannois, lequel n'apparaît pas sur cette photo?;Le Palais de Rhumine;La Cathédrale;La Tour Bel-Air;L'Eglise St-Laurent;;i41img3.jpg
i42;unique;Pourriez-vous nous en dire plus sur vos loisirs?;user preferences;Parmi ces loisirs, lequel appréciez-vous le plus?;Les randonnées en montagne;Les promenades en nature;Les promenades en ville;;;
i43;unique;Pourriez-vous nous en dire plus sur vos loisirs?;user preferences;En moyenne, à quelle fréquence faites-vous des marches (randonnées, promenades) pour votre plaisir?;Quelques fois par an;Environ une fois par mois;Plusieurs fois par mois;Une fois par semaine ou plus;;
i44;slider;Pourriez-vous nous en dire plus sur vos loisirs?;user preferences;Sur une échelle de 1 à 5, évaluez l'importance des critères suivants lorsque vous faites une marche;Performance physique (distance, durée, vitesse);Bien-être personnel;Découverte de nouveaux lieux;Qualité esthétique des lieux;Historique des lieux;
i45;unique;Nous allons bientôt partir à la re-découverte de Lausanne;Introduction;Le long du parcours du Géoguide, vous souhaitez avant tout;En apprendre sur la ville et sa géographie;Découvrir des lieux ainsi que leur histoire;Faire une promenade sympathique;Je n'ai pas d'attente patriculières;;
